lat,lon
28.112355863385694,87.44308289946808
28.107565667323883,87.44767501114222
28.10571678862928,87.44992738192047
28.09906128658971,87.45618052876594
28.09319128668877,87.46230394407658
28.089418617505967,87.46479177527272
28.085455910153243,87.47004715264194
28.079152206863643,87.47350053369378
28.069878235055832,87.47962712237931
28.066965000948542,87.47891199308253
28.059562326075643,87.4816368768954
28.051561036942473,87.47741918697392
28.047946337857905,87.47332307882603
28.043549135831196,87.4709942142485
28.04044139118812,87.47170304713502
28.036719425126826,87.47252107023537
28.030531764182204,87.47371483493373
28.02195540260912,87.46863173847913
28.01712252128906,87.46697311663155
28.0129303963806,87.4626829458902
28.0117739058771,87.46029786534226
28.006785027358735,87.453929913075
28.003096793205174,87.45000889659313
28.000087084805294,87.44559259030434
27.99269751869132,87.44165701294656
27.989204641817405,87.4414597275179
27.982949841991843,87.44394595540086
27.979268723577327,87.44890327311045
27.974923191940245,87.44996309885552
27.97213842537966,87.45404917479662
27.968450919502864,87.45538601112641
27.96082893221701,87.46171840428407
27.954491394264046,87.4698548606526
27.950758808001016,87.47112975938145
27.94364316840077,87.4770149866685
27.93782133974539,87.47940858434814
27.93674323275669,87.485665143609
27.935160304629992,87.48656269071283
27.93361248844421,87.49532744247061
27.93397760407537,87.49921183411124
27.929625105167105,87.50454815299926
